createdon,OrderAmount
5-17-21 13:38,553
5-17-21 14:28,510
5-17-21 14:43,271
5-17-21 15:16,664
5-17-21 15:46,185
5-17-21 15:52,1122
5-17-21 17:53,95
5-17-21 18:09,33
5-17-21 19:27,740
5-17-21 21:11,703
5-18-21 12:13,1693
5-18-21 12:21,205
5-18-21 14:12,3387
5-18-21 16:35,670
5-19-21 7:23,359
5-19-21 10:16,540
5-19-21 11:04,501
5-19-21 11:15,1160
5-19-21 11:33,502
5-19-21 11:40,514
5-19-21 13:07,600
5-19-21 15:18,162
5-19-21 15:36,171
5-19-21 17:08,1542
5-19-21 20:43,633
5-19-21 21:29,3
5-20-21 2:13,761
5-20-21 8:19,501
5-20-21 13:14,175
5-20-21 17:35,352
5-20-21 18:02,522
5-20-21 18:38,586
5-20-21 21:48,504
5-20-21 23:02,608
5-20-21 23:49,532
5-21-21 2:31,3
5-21-21 8:34,3
5-21-21 9:23,511
5-21-21 10:52,142
5-21-21 13:04,681
5-21-21 14:23,745
5-21-21 16:59,127
5-21-21 19:14,163
5-21-21 21:28,85
5-21-21 22:24,615
5-21-21 23:36,805
5-22-21 9:37,1954
5-22-21 11:22,1456
5-22-21 11:32,1
5-22-21 15:23,1171
5-22-21 16:23,369
5-22-21 16:59,757
5-22-21 17:43,511
5-22-21 18:00,708
5-22-21 21:59,764
5-22-21 23:21,1129
5-23-21 10:13,60
5-23-21 11:24,1020
5-23-21 14:17,507
5-23-21 14:55,609
5-23-21 16:46,582
5-23-21 17:24,295
5-23-21 20:08,574
5-24-21 9:32,668
5-24-21 12:06,262
5-24-21 13:20,281
5-24-21 13:32,745
5-24-21 15:08,960
5-24-21 15:14,343
5-24-21 20:05,339
5-24-21 20:21,927
5-24-21 21:11,459
5-24-21 22:38,2488
5-24-21 22:49,1283
5-25-21 6:46,770
5-25-21 8:01,520
5-25-21 12:30,725
5-25-21 13:17,671
5-25-21 13:53,539
5-25-21 14:22,200
5-25-21 15:54,1
5-25-21 16:09,515
5-25-21 16:56,69
5-25-21 17:46,99
5-25-21 17:47,1109
5-25-21 18:24,435
5-25-21 19:43,140
5-25-21 20:32,820
5-25-21 20:46,502
5-25-21 21:41,1281
5-25-21 23:35,118
5-26-21 1:26,625
5-26-21 8:39,639
5-26-21 12:21,332
5-26-21 13:07,909
5-26-21 14:25,507
5-26-21 15:31,684
5-26-21 19:01,1230
5-26-21 21:04,539
5-26-21 22:06,505
5-27-21 0:55,313
5-27-21 10:09,380
5-27-21 13:39,292
5-27-21 16:44,874
5-27-21 17:54,581
5-27-21 19:56,717
5-27-21 20:39,582
5-27-21 22:19,634
5-27-21 23:06,639
5-28-21 2:09,554
5-28-21 9:15,628
5-28-21 10:04,521
5-28-21 17:15,357
5-28-21 21:29,504
5-28-21 22:13,509
5-29-21 8:11,513
5-29-21 8:24,1110
5-29-21 9:22,737
5-29-21 10:28,144
5-29-21 11:16,524
5-29-21 13:52,1763
5-29-21 15:52,509
5-29-21 16:08,170
5-29-21 16:32,172
5-29-21 17:05,59
5-29-21 17:10,55
5-29-21 17:24,74
5-29-21 17:31,547
5-29-21 17:41,42
5-29-21 17:59,83
5-29-21 18:20,511
5-29-21 18:57,625
5-29-21 19:00,122
5-29-21 19:05,201
5-29-21 21:15,506
5-29-21 21:43,86
5-29-21 21:56,402
5-29-21 22:50,681
5-29-21 22:53,67
5-29-21 23:00,50
5-29-21 23:20,501
5-30-21 0:21,35
5-30-21 0:28,85
5-30-21 0:38,49
5-30-21 0:48,49
5-30-21 6:34,504
5-30-21 7:20,646
5-30-21 8:05,156
5-30-21 8:16,214
5-30-21 10:12,513
5-30-21 10:17,49
5-30-21 12:03,92
5-30-21 12:11,505
5-30-21 12:39,577
5-30-21 12:39,1335
5-30-21 12:47,49
5-30-21 12:48,507
5-30-21 12:51,548
